domain,category,single_i_auroc,single_p_auroc,all380_i_auroc,all380_p_auroc,all380_aupro
Industry,Texture_1,99.63,92.40,99.81,93.49,88.49
Industry,Texture_10,100.00,99.62,100.00,99.49,98.48
Industry,Texture_2,100.00,99.77,100.00,99.65,98.71
Industry,Texture_3,100.00,99.23,99.03,98.39,96.38
Industry,Texture_4,100.00,99.38,100.00,99.13,97.49
Industry,Texture_5,100.00,99.68,100.00,99.50,98.35
Industry,Texture_6,100.00,98.41,100.00,97.81,93.27
Industry,Texture_7,100.00,98.71,100.00,98.07,96.67
Industry,Texture_8,97.62,99.36,95.66,98.80,96.24
Industry,Texture_9,99.99,99.85,99.03,99.73,99.10
Industry,Threaded_Fitting,38.46,96.98,41.88,96.94,90.03
Industry,tile,100.00,96.92,99.82,96.52,87.79
Industry,tire,93.10,99.46,86.68,99.33,96.80
Industry,toothbrush,100.00,98.93,99.58,99.06,93.74
Industry,toy,91.51,92.69,77.64,90.51,80.19
Industry,toy_brick,80.01,97.32,65.72,93.66,66.38
Industry,transparent_zipper,99.80,98.97,99.92,99.10,96.55
Industry,tubes,89.54,98.72,90.99,99.03,95.70
Industry,underbody_pipes,99.18,99.09,98.40,98.53,95.15
Industry,underbody_screw,100.00,99.87,99.93,99.83,99.41
Industry,Valve_Handle_Blue,98.96,98.95,92.19,99.15,96.13
Industry,Valve_Handle_Red,92.31,98.31,81.87,98.64,95.22
Industry,vcpill,93.31,98.37,84.90,97.98,88.87
Industry,vial,84.69,93.05,84.17,92.79,87.90
Industry,wallplugs,43.43,77.48,41.37,81.24,36.51
Industry,Wand_IL,99.49,99.87,99.24,99.88,99.60
Industry,Wheel_IL,93.87,97.76,64.18,87.70,80.92
Industry,white_nut,94.13,98.22,91.31,97.48,89.02
Industry,wood,99.94,96.43,99.63,95.29,88.99
Industry,wooden_beads,92.18,98.17,84.31,97.16,83.30
Industry,woodstick,80.09,97.60,71.24,95.93,74.67
Industry,Woven_001,99.76,99.69,98.52,99.58,97.08
Industry,Woven_068,100.00,99.57,100.00,99.55,98.33
Industry,Woven_104,99.94,99.54,100.00,99.33,97.74
Industry,Woven_125,100.00,99.66,100.00,99.40,97.33
Industry,Woven_127,98.72,96.50,98.42,96.15,95.22
Industry,yellow_cloth,99.89,98.26,98.89,96.59,83.56
Industry,yellow_green_washer,95.43,92.78,92.22,89.27,77.76
Industry,zipper,100.00,97.55,100.00,98.76,96.13
Infrastructure,Asphalt_Pavement_1,98.93,93.52,99.53,92.85,74.61
